ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.2.100,55,6,192.168.2.201,1524372636.57879,64,51967,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.579269,64,23,PA,51967
192.168.2.100,121,6,192.168.2.201,1524372636.579664,64,51967,PA,23
192.168.2.201,56,6,192.168.2.100,1524372636.579963,64,23,PA,51967
192.168.2.100,56,6,192.168.2.201,1524372636.580346,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.580714,64,23,A,51967
192.168.2.201,54,6,192.168.2.100,1524372636.580996,64,23,PA,51967
192.168.2.100,54,6,192.168.2.201,1524372636.581298,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.581691,64,23,A,51967
192.168.2.100,62,6,192.168.2.201,1524372636.581943,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.582277,64,23,A,51967
192.168.2.201,56,6,192.168.2.100,1524372636.58259,64,23,PA,51967
192.168.2.100,52,6,192.168.2.201,1524372636.582893,64,51967,A,23
192.168.2.201,54,6,192.168.2.100,1524372636.583213,64,23,PA,51967
192.168.2.100,52,6,192.168.2.201,1524372636.583596,64,51967,A,23
192.168.2.100,54,6,192.168.2.201,1524372636.583947,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.5843,64,23,A,51967
192.168.2.100,123,6,192.168.2.201,1524372636.584616,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.584912,64,23,A,51967
192.168.2.201,60,6,192.168.2.100,1524372636.585205,64,23,PA,51967
192.168.2.100,60,6,192.168.2.201,1524372636.585566,64,51967,PA,23
192.168.2.201,63,6,192.168.2.100,1524372636.585867,64,23,PA,51967
192.168.2.100,63,6,192.168.2.201,1524372636.586198,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.58655,64,23,A,51967
192.168.2.100,95,6,192.168.2.201,1524372636.586818,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.587193,64,23,A,51967
192.168.2.201,72,6,192.168.2.100,1524372636.587813,64,23,PA,51967
192.168.2.100,53,6,192.168.2.201,1524372636.588281,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.588632,64,23,A,51967
